Area ID,Head segment ID,FRC of head segment,Count seg whip,Head pen rate,Head Ticon ADT,Head avg daily RSS,Avg whip pen rate,Std dev whip seg pen rate,Relat range,Month,Outliers
1666,1169389460,1,1,0.754,17042,12845.8,0.754,0,0,22-6,0
1666,23369296,1,1,0.263,42435,11143.833,0.263,0,0,22-6,0
1666,-1169390100,1,3,0.286,44694,12763.167,0.169,0.101,1.047,22-6,0
1703,-859453482000,1,1,0.283,17358,4904.433,0.283,0,0,22-6,0
1703,859453480000,1,1,0.272,18347,4992.467,0.272,0,0,22-6,0
1703,-854764073000,1,3,3.556,1336,4751.233,5.184,2.123,0.777,22-6,0
1703,1161737752000,1,5,1.927,5014,9662.1,1.187,0.425,0.871,22-6,0
1768,-125430400,1,1,0.296,17665,5231,0.296,0,0,22-6,0
1768,1283211085,1,1,0.314,12086,3789.3,0.314,0,0,22-6,0
1768,-125430412,1,1,0.304,17155,5208.267,0.304,0,0,22-6,0
1768,125430402,1,1,0.274,18958,5188.933,0.274,0,0,22-6,0
1715,119052255,1,1,0.469,20109,9425.5,0.469,0,0,22-6,0
1715,-1268540891,1,1,0.325,18694,6069.7,0.325,0,0,22-6,0
1715,-1268540892,1,1,0.436,21337,9298.933,0.436,0,0,22-6,0
1715,1243920800,1,2,0.216,22748,4912.567,0.206,0.015,0.101,22-6,0
1726,-855359206000,1,1,0.758,9649,7315.933,0.758,0,0,22-6,0
1726,1196096622000,1,2,0.284,22702,6453.1,0.275,0.013,0.066,22-6,0
1726,-1222493122000,1,5,1.974,6967,13755,1.177,0.47,0.965,22-6,0
1726,109015284000,1,5,3.403,1972,6711.5,4.33,1.446,0.803,22-6,0
1813,1171013699,1,1,0.182,16579,3022.2,0.182,0,0,22-6,0
